Parameter,Estimation Model,Model Specification,Percent Mobility,Cluster Correlation,ICC,Population Parameter,Mean(Est),SD(EST),Mean(SE),MSE,Coverage,Mean(ESS)
fp_int,HLM,Null,0,0,0.05,20.30776406404415,20.29073004961142,0.1691293479833553,0.15883255345632216,2.9015764769449573e-4,0.921,462.99793391761114
fp_int,HLM,Null,0,0,0.15,14.78713553878169,14.764834011468663,0.1525218464289837,0.13930954291564526,4.973581204937156e-4,0.912,152.04347289466935
fp_int,HLM,Null,0,0,0.3,11.443375672974064,11.413836989913714,0.14816216112018196,0.13217041223010262,8.725337969398153e-4,0.904,66.24668157289707
fp_int,HLM,Null,0,0.25,0.05,20.30776406404415,20.282047497621317,0.20165072980450766,0.15765890812255812,6.613417885799896e-4,0.867,473.09048745863635
fp_int,HLM,Null,0,0.25,0.15,14.78713553878169,14.756602823573067,0.1872811716373991,0.13811262778900082,9.322466980109322e-4,0.837,155.4246658059189
fp_int,HLM,Null,0,0.25,0.3,11.443375672974064,11.405525467841436,0.18354625486469558,0.1310024688265436,0.0014326380285820141,0.816,67.75536682369655
fp_int,HLM,Null,0.25,0,0.05,20.30776406404415,20.30382405241517,0.16715761214017216,0.14610795265598703,1.552369163650157e-5,0.909,574.2316956496741
fp_int,HLM,Null,0.25,0,0.15,14.78713553878169,14.777586270776661,0.1509045537531891,0.1256064345697955,9.11885194318807e-5,0.889,194.11669065666075
fp_int,HLM,Null,0.25,0,0.3,11.443375672974064,11.427242348250626,0.14659312295704918,0.11822388921898559,2.602841666318773e-4,0.881,87.380669862621275
fp_int,HLM,Null,0.25,0.25,0.05,20.30776406404415,20.305294399767146,0.2026823716451223,0.14774052753527675,6.0992416411124976e-6,0.833,564.584860713058
fp_int,HLM,Null,0.25,0.25,0.15,14.78713553878169,14.778702527170903,0.18849766900745413,0.12763196655425785,7.11156848276706e-5,0.81,189.3494219514619
fp_int,HLM,Null,0.25,0.25,0.3,11.443375672974064,11.427978212434647,0.18440113596734847,0.1204213459457057,2.3708179106288782e-4,0.8,84.32869625559383
fp_int,HLM,Null,0.5,0,0.05,20.30776406404415,20.307598838885546,0.16886259940671233,0.13396650261230697,2.72993530356285e-8,0.883,720.5998736259792
fp_int,HLM,Null,0.5,0,0.15,14.78713553878169,14.784510486184441,0.15155584900743072,0.11256152458594562,6.890901138325412e-6,0.854,251.89861590268148
fp_int,HLM,Null,0.5,0,0.3,11.443375672974064,11.43678614856906,0.14682489297546905,0.10481304484314159,4.342183188412926e-5,0.836,115.37313627146176
fp_int,HLM,Null,0.5,0.25,0.05,20.30776406404415,20.30230642502741,0.21170038576176867,0.13919196566167116,2.9785823637040464e-5,0.803,659.5275342935595
fp_int,HLM,Null,0.5,0.25,0.15,14.78713553878169,14.778360694897264,0.19881517895770734,0.11830756023598488,7.699788519605145e-5,0.766,226.18190535897284
fp_int,HLM,Null,0.5,0.25,0.3,11.443375672974064,11.429863597082333,0.19568943607083678,0.11077444406168717,1.8257619490388854e-4,0.737,102.28713996034914
fp_int,HLM,L2,0,0,0.05,20.30776406404415,20.299609692061907,0.1098551613075208,0.10241052265515206,6.649378242479692e-5,0.92,1488.771872595461
fp_int,HLM,L2,0,0,0.15,14.78713553878169,14.778984941470505,0.08077992368954508,0.07695095896663558,6.64322365291116e-5,0.932,637.9297150330016
fp_int,HLM,L2,0,0,0.3,11.443375672974064,11.434578516183672,0.07171858195741869,0.06770220918855316,7.738996759473522e-5,0.93,291.33566054027216
fp_int,HLM,L2,0,0.25,0.05,20.30776406404415,20.29937693326263,0.11108439690893185,0.10314109227518119,7.034396274634602e-5,0.924,1491.8791367404872
fp_int,HLM,L2,0,0.25,0.15,14.78713553878169,14.779152646243475,0.08144996549745906,0.07762002052620642,6.372657327670366e-5,0.929,634.6814515724681
fp_int,HLM,L2,0,0.25,0.3,11.443375672974064,11.43490763388865,0.07203816173258168,0.0683314311730205,7.17076859520793e-5,0.927,291.0159341059121
fp_int,HLM,L2,0.25,0,0.05,20.30776406404415,20.30898566095293,0.11142796691933128,0.09866882188506274,1.492299007543804e-6,0.921,1650.6540706656833
fp_int,HLM,L2,0.25,0,0.15,14.78713553878169,14.786710127931924,0.08198057600266398,0.07065562887908487,1.8097439109909804e-7,0.911,799.6473482200743
fp_int,HLM,L2,0.25,0,0.3,11.443375672974064,11.441353861988869,0.07199258521257888,0.06089664031820087,4.087719659853581e-6,0.9,381.2217132851739
fp_int,HLM,L2,0.25,0.25,0.05,20.30776406404415,20.307466295048897,0.11260112153087652,0.09944503522047657,8.866637453399465e-8,0.926,1653.1533226267761
fp_int,HLM,L2,0.25,0.25,0.15,14.78713553878169,14.785464812703399,0.08286047671307031,0.07120938019211637,2.7913256286834663e-6,0.902,797.0707621033902
fp_int,HLM,L2,0.25,0.25,0.3,11.443375672974064,11.440186378589118,0.07276956690910631,0.06135536184774269,1.017159867384579e-5,0.891,381.6065485110541
fp_int,HLM,L2,0.5,0,0.05,20.30776406404415,20.305989357513994,0.11053412755991852,0.0962857050951833,3.149583268179494e-6,0.91,1785.7786521214896
fp_int,HLM,L2,0.5,0,0.15,14.78713553878169,14.78607626532982,0.08058628143611693,0.06558051002433557,1.1220602458379065e-6,0.884,975.3888099609296
fp_int,HLM,L2,0.5,0,0.3,11.443375672974064,11.442001036738688,0.07115164355879813,0.055561483624139554,1.8896247796078866e-6,0.871,485.0625059705907
fp_int,HLM,L2,0.5,0.25,0.05,20.30776406404415,20.30526651705737,0.11285858239331553,0.09740300973271959,6.237740951179721e-6,0.906,1788.5594796737469
fp_int,HLM,L2,0.5,0.25,0.15,14.78713553878169,14.785571515640266,0.0820483321066554,0.06624966896015821,2.446168386912604e-6,0.884,978.5606250716014
fp_int,HLM,L2,0.5,0.25,0.3,11.443375672974064,11.441665535827463,0.07208321697638177,0.056037546895231806,2.9245690601840733e-6,0.875,487.3585897742222
fp_int,HLM,L1 & L2,0,0,0.05,10,9.994102887020786,0.10092892406996076,0.09986383817122106,3.477594148961976e-5,0.941,354.52830478409044
fp_int,HLM,L1 & L2,0,0,0.15,10,9.99400938666793,0.1009728795819399,0.09986434935528439,3.588744809437702e-5,0.941,354.51842139371
fp_int,HLM,L1 & L2,0,0,0.3,10,9.99400938666792,0.10097287958194191,0.0998643493552843,3.5887448094504715e-5,0.941,354.51842139370683
fp_int,HLM,L1 & L2,0,0.25,0.05,10,9.994529425562785,0.10097026744720355,0.10033078136141049,2.992718467311013e-5,0.947,353.4397154627514
fp_int,HLM,L1 & L2,0,0.25,0.15,10,9.994490602504824,0.10097939460592527,0.10034091882874162,3.0353460759855063e-5,0.947,353.30018560100325
fp_int,HLM,L1 & L2,0,0.25,0.3,10,9.99443738010626,0.10101615656950892,0.1003384343155225,3.094274008222417e-5,0.947,353.3545718917501
fp_int,HLM,L1 & L2,0.25,0,0.05,10,10.001061446949135,0.09811795922086236,0.09484386171544638,1.1266696258289723e-6,0.945,504.48943443095203
fp_int,HLM,L1 & L2,0.25,0,0.15,10,10.00107232843041,0.0981231055334329,0.0948554810652515,1.1498882626668766e-6,0.945,504.1057583737135
fp_int,HLM,L1 & L2,0.25,0,0.3,10,10.001072328430404,0.09812310553343628,0.09485548106525155,1.149888262651638e-6,0.945,504.105758373701
fp_int,HLM,L1 & L2,0.25,0.25,0.05,10,9.999925183618894,0.09842946579423807,0.09514888704786988,5.597490881858351e-9,0.943,503.35864538776923
fp_int,HLM,L1 & L2,0.25,0.25,0.15,10,9.999925183618881,0.09842946579423868,0.09514888704787015,5.5974908837189594e-9,0.943,503.35864538776144
fp_int,HLM,L1 & L2,0.25,0.25,0.3,10,9.999925183618874,0.09842946579423911,0.09514888704787029,5.597490884782164e-9,0.943,503.3586453877716
