Parameter,Estimation Model,Model Specification,Percent Mobility,Cluster Correlation,ICC,Population Parameter,Mean(Est),SD(EST),Mean(SE),MSE,Coverage,Mean(ESS)
fp_x1,HLM,L1 & L2,0,0,0.05,2.0615528128088303,2.061598061896521,0.014180255125588667,0.014214571699419178,2.0474799368267646e-9,0.949,2509.9005466419894
fp_x1,HLM,L1 & L2,0,0,0.15,0.9574271077563381,0.9574727632106779,0.014180409324753876,0.014214570998013768,2.084420510970441e-9,0.949,2509.9037708209576
fp_x1,HLM,L1 & L2,0,0,0.3,0.2886751345948129,0.288720790049153,0.014180409324753679,0.014214570998013714,2.0844205110008535e-9,0.949,2509.903770820975
fp_x1,HLM,L1 & L2,0,0.25,0.05,2.0615528128088303,2.0616013309680827,0.014193333906165439,0.014215372217240469,2.3540117772453197e-9,0.949,2512.554530723154
fp_x1,HLM,L1 & L2,0,0.25,0.15,0.9574271077563381,0.9574753509605406,0.014193240979420601,0.014215375375036995,2.327406751723305e-9,0.949,2512.6689490003287
fp_x1,HLM,L1 & L2,0,0.25,0.3,0.2886751345948129,0.2887244949092235,0.014193651667043937,0.014215379958441327,2.4364406387084926e-9,0.949,2512.680263610843
fp_x1,HLM,L1 & L2,0.25,0,0.05,2.0615528128088303,2.0613281231258918,0.01409902271570272,0.014291025612442288,5.048545361902127e-8,0.958,2512.768982977258
fp_x1,HLM,L1 & L2,0.25,0,0.15,0.9574271077563381,0.9572014735351887,0.01409908703159219,0.01429108587207653,5.091080175369936e-8,0.958,2512.7586750335913
fp_x1,HLM,L1 & L2,0.25,0,0.3,0.2886751345948129,0.2884495003736635,0.014099087031592527,0.014291085872076548,5.091080175369936e-8,0.958,2512.7586750335836
fp_x1,HLM,L1 & L2,0.25,0.25,0.05,2.0615528128088303,2.0613389573231253,0.014070608755819121,0.014291862952161838,4.573416876610489e-8,0.958,2511.7821664830785
fp_x1,HLM,L1 & L2,0.25,0.25,0.15,0.9574271077563381,0.9572132522706329,0.01407060875582001,0.01429186295216184,4.5734168766199864e-8,0.958,2511.782166483064
fp_x1,HLM,L1 & L2,0.25,0.25,0.3,0.2886751345948129,0.28846127910910774,0.014070608755820503,0.014291862952161886,4.5734168766199864e-8,0.958,2511.7821664830644
fp_x1,HLM,L1 & L2,0.5,0,0.05,2.0615528128088303,2.062047016943031,0.014535248900807648,0.014304048685428684,2.4423772626123225e-7,0.952,2517.541740424716
fp_x1,HLM,L1 & L2,0.5,0,0.15,0.9574271077563381,0.957922108809444,0.014535867656902242,0.014304009721099518,2.450260425758985e-7,0.952,2517.398550234969
fp_x1,HLM,L1 & L2,0.5,0,0.3,0.2886751345948129,0.2891701356479192,0.014535867656902028,0.014304009721099532,2.4502604257633816e-7,0.952,2517.398550234967
fp_x1,HLM,L1 & L2,0.5,0.25,0.05,2.0615528128088303,2.0620738224019735,0.01451561220062732,0.014304825305346483,2.7145099614720366e-7,0.953,2517.9624932153797
fp_x1,HLM,L1 & L2,0.5,0.25,0.15,0.9574271077563381,0.9579481173494822,0.01451561220062713,0.014304825305346526,2.7145099614812915e-7,0.953,2517.9624932153783
fp_x1,HLM,L1 & L2,0.5,0.25,0.3,0.2886751345948129,0.2891961441879575,0.014515612200626828,0.014304825305346519,2.7145099614870756e-7,0.953,2517.962493215374
fp_x1,MMREM,L1 & L2,0,0,0.05,2.0615528128088303,2.0615821862412984,0.014180346022229656,0.0142290629724861,8.627985349589758e-10,0.949,2497.7901152310524
fp_x1,MMREM,L1 & L2,0,0,0.15,0.9574271077563381,0.9574568877769083,0.01418050023192646,0.014229062329013161,8.868496251610269e-10,0.949,2497.793182267799
fp_x1,MMREM,L1 & L2,0,0,0.3,0.2886751345948129,0.28870491461538345,0.014180500231926284,0.014229062329013114,8.868496251808645e-10,0.949,2497.7931822678197
fp_x1,MMREM,L1 & L2,0,0.25,0.05,2.0615528128088303,2.0615855166662724,0.01419343890078263,0.014229827937950822,1.0695422915958228e-9,0.949,2497.7448625817137
fp_x1,MMREM,L1 & L2,0,0.25,0.15,0.9574271077563381,0.9574595362667346,0.014193345892286924,0.014229831676319006,1.0516082865379585e-9,0.949,2497.869404712151
fp_x1,MMREM,L1 & L2,0,0.25,0.3,0.2886751345948129,0.28870868117813386,0.014193756750067744,0.014229834950092175,1.1253732525089385e-9,0.949,2497.880322616248
fp_x1,MMREM,L1 & L2,0.25,0,0.05,2.0615528128088303,2.0612470399279705,0.014010102530204705,0.014238204266748924,9.349705466927451e-8,0.962,2495.729390234281
fp_x1,MMREM,L1 & L2,0.25,0,0.15,0.9574271077563381,0.9571207972091094,0.014010141316853913,0.014238217124443994,9.382615134356932e-8,0.962,2495.7252274857497
fp_x1,MMREM,L1 & L2,0.25,0,0.3,0.2886751345948129,0.2883688240475843,0.014010141316854406,0.014238217124444006,9.382615134350131e-8,0.962,2495.725227485815
fp_x1,MMREM,L1 & L2,0.25,0.25,0.05,2.0615528128088303,2.0612537174868506,0.014002715793025767,0.014238712359009333,8.94580116301357e-8,0.961,2498.1795795191747
fp_x1,MMREM,L1 & L2,0.25,0.25,0.15,0.9574271077563381,0.9571280124343581,0.0140027157930262,0.014238712359009306,8.945801163033494e-8,0.961,2498.1795795191374
fp_x1,MMREM,L1 & L2,0.25,0.25,0.3,0.2886751345948129,0.2883760392728328,0.014002715793026666,0.014238712359009364,8.945801163040135e-8,0.961,2498.179579519151
fp_x1,MMREM,L1 & L2,0.5,0,0.05,2.0615528128088303,2.0620364543725818,0.014393357738983625,0.014213988925579216,2.339091621879663e-7,0.955,2504.872367446029
fp_x1,MMREM,L1 & L2,0.5,0,0.15,0.9574271077563381,0.95791105042229,0.01439353868100688,0.014213979997510787,2.342005039285976e-7,0.955,2504.8723674460025
fp_x1,MMREM,L1 & L2,0.5,0,0.3,0.2886751345948129,0.2891590772607652,0.014393538681006643,0.014213979997510754,2.3420050392897371e-7,0.955,2504.8723674460425
fp_x1,MMREM,L1 & L2,0.5,0.25,0.05,2.0615528128088303,2.062049734614768,0.014384381167020033,0.01421505464721869,2.4693128121653973e-7,0.956,2505.6127009144593
fp_x1,MMREM,L1 & L2,0.5,0.25,0.15,0.9574271077563381,0.9579240295622767,0.01438438116701986,0.014215054647218615,2.469312812173121e-7,0.956,2505.612700914466
fp_x1,MMREM,L1 & L2,0.5,0.25,0.3,0.2886751345948129,0.2891720564007521,0.01438438116701953,0.014215054647218617,2.469312812178638e-7,0.956,2505.6127009144893
