Parameter,Estimation Model,Model Specification,Percent Mobility,Cluster Correlation,ICC,Population Parameter,Mean(Est),SD(EST),Mean(SE),MSE,Coverage,Mean(ESS)
rp_int_v2,HLM,Null,0,0,0.05,1,1.0196104917076658,0.2940487446979449,0.3003571233199376,3.8457138501643e-4,0.943,827.8833492687527
rp_int_v2,HLM,Null,0,0,0.15,1,1.0293011934619318,0.23446864900262349,0.2415511946307692,8.585599382935566e-4,0.945,1525.3731129679627
rp_int_v2,HLM,Null,0,0,0.3,1,1.0304371990253545,0.21966690391497992,0.2274761067173255,9.264230845090389e-4,0.945,1819.2357128757117
rp_int_v2,HLM,Null,0,0.25,0.05,1,0.999249454496625,0.30457097632850827,0.296444660407026,5.63318552636515e-7,0.924,807.9534450683279
rp_int_v2,HLM,Null,0,0.25,0.15,1,1.0103067630556113,0.24892264323153368,0.23761987427316206,1.0622936468451378e-4,0.924,1508.947195395831
rp_int_v2,HLM,Null,0,0.25,0.3,1,1.0124917751756646,0.23604979257700393,0.22371412878433064,1.5604444703934978e-4,0.925,1809.5842782551174
rp_int_v2,HLM,Null,0.25,0,0.05,0.875,0.7902286012505327,0.25045527812466617,0.2534454675632481,0.00718619004594118,0.894,666.7738595564574
rp_int_v2,HLM,Null,0.25,0,0.15,0.875,0.8005330614390196,0.19418424728968084,0.19392020119236233,0.005545324938644831,0.879,1391.8601802888186
rp_int_v2,HLM,Null,0.25,0,0.3,0.875,0.8004681754444287,0.1820495591591816,0.17933258922223275,0.005554992871582458,0.876,1742.5866081257127
rp_int_v2,HLM,Null,0.25,0.25,0.05,0.90625,0.822204225337129,0.28220181681353806,0.25997714485262174,0.007063692238682089,0.864,683.9107879324617
rp_int_v2,HLM,Null,0.25,0.25,0.15,0.90625,0.8363726176132297,0.22569892837356909,0.20127820628652163,0.0048828485692269195,0.843,1409.3921741586255
rp_int_v2,HLM,Null,0.25,0.25,0.3,0.90625,0.8383388664990207,0.2132194391598198,0.1871839766280768,0.004611922053387837,0.832,1754.0247361851502
rp_int_v2,HLM,Null,0.5,0,0.05,0.75,0.5935811457490365,0.21980690026326108,0.21398129488094483,0.024466857965184153,0.808,501.4865780050606
rp_int_v2,HLM,Null,0.5,0,0.15,0.75,0.6085079813394442,0.15428105917154517,0.15383351604891665,0.02001999134463908,0.748,1234.4984666258395
rp_int_v2,HLM,Null,0.5,0,0.3,0.75,0.607591267654603,0.13839130853570838,0.13877906333379658,0.020280247048222913,0.724,1644.2004281740733
rp_int_v2,HLM,Null,0.5,0.25,0.05,0.8125,0.6791787062432549,0.25921144200740914,0.23135213341114277,0.01777456736897231,0.828,567.6690048042298
rp_int_v2,HLM,Null,0.5,0.25,0.15,0.8125,0.6935787205258395,0.1986844844946041,0.17155574113028527,0.014142270711771395,0.782,1300.752144528761
rp_int_v2,HLM,Null,0.5,0.25,0.3,0.8125,0.6937759269861328,0.18527905291723926,0.15685146873110514,0.014095405513002077,0.759,1686.3229661032653
rp_int_v2,HLM,L2,0,0,0.05,1,0.1643957960857395,0.11900006473672085,0.1138958236816818,0.698234385599185,0.003,103.26733161088197
rp_int_v2,HLM,L2,0,0,0.15,1,0.20298557495879543,0.06897425844194802,0.0694676513817886,0.6352319937237619,0,557.9873514056629
rp_int_v2,HLM,L2,0,0,0.3,1,0.2073094024104469,0.05219174790010444,0.05457255736077864,0.6283583835068828,0,1070.8736924780783
rp_int_v2,HLM,L2,0,0.25,0.05,1,0.16320497682644022,0.11814421748185203,0.11380031331651876,0.7002259108080385,0.003,101.64419955523019
rp_int_v2,HLM,L2,0,0.25,0.15,1,0.20317628909493812,0.06824104730626257,0.06950079816364692,0.6349280262605136,0,559.0291376917362
rp_int_v2,HLM,L2,0,0.25,0.3,1,0.2075327984466361,0.051823920834764677,0.05462244257438109,0.62800426553782,0,1069.6057386610657
rp_int_v2,HLM,L2,0.25,0,0.05,0.875,0.12139846231045724,0.09363148934926312,0.09687782566512587,0.5679152776080433,0.001,77.17499919801834
rp_int_v2,HLM,L2,0.25,0,0.15,0.875,0.15092510856042732,0.059543005572693555,0.05883840594835088,0.524284448413229,0,409.6834460994217
rp_int_v2,HLM,L2,0.25,0,0.3,0.875,0.15654526339007857,0.04182328288416163,0.04384893187106518,0.5161772085572316,0,919.6717625415204
